OBJECTID,LOC_NAME,FCSUBTYPE,SURVEY_YEAR,TRAIL,ROAD,NOTES,ACRES,DATAACCESS,MAPMETHOD,SOURCEDATE,XYACCURACY,VALID_RESULT,CREATEBY,GlobalID,Shape__Area,Shape__Length
207,,30000,1977,Gatlinburg Trail,Gatlinburg Bypass Road,223963,41.83022063,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a8ae738a-6128-46f6-9787-cf2ffee9ac60,1.69E-05,0.017816815
208,,30000,1977,Chestnut Top Trail,Townsend Entrance Road,223961,5.31338021,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,21b30a4e-3912-48d7-8963-456357d29e08,2.14E-06,0.005884842
209,,30000,1977,Lower Mount Cammerer Trail,Cosby Entrance Road,223959,9.01062328,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,f9f6d322-2e15-4307-911c-68b067d72b44,3.64E-06,0.007522944
210,,30000,1977,Lower Mount Cammerer Trail,Cosby Entrance Road,223958,5.33656137,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,7b80b581-e1c2-4e2a-a579-dba7e4f55727,2.15E-06,0.006133148
211,,30000,1976,Lower Mount Cammerer Trail,Big Creek Entrance Road,223954,45.03252222,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,39673997-60a0-42af-8fdc-9628cbec5cc1,1.82E-05,0.017803341
212,,30000,1976,Cane Creek Trail,Foothills Parkway Southwest Parking #13,223953,130.2570636,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,0f845fbb-b593-430b-ad14-5ff1541c8360,5.25E-05,0.031557209
213,,30000,1976,Cove Mountain Trail,Wear Cove Gap Road,223951,201.976767,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,25d167ac-252f-4d85-ad23-a881208de0b0,8.14E-05,0.043487466
214,,30000,1976,Hannah Mountain Trail,Foothills Parkway Section 8h,223950,37.70378976,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,22166020-8b6b-4f5a-b7ed-1f02387b19e8,1.52E-05,0.017318024
215,,30000,1976,Noland Divide Trail,Lakeview Drive East,223948,667.4294472,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,6089f32b-fbd7-4031-970c-9710e0d4ad0e,0.000268199,0.076083305
216,,30000,1976,Gatlinburg Trail,Newfound Gap Road North,223947,24.83082902,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,66ad97ff-2dbe-40da-88c2-90508b1913dd,1.00E-05,0.012662001
217,,30000,1976,Maddron Bald Trail,Foothills Parkway Section 8a,223945,0.72647978,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,d98a9e73-d697-4d23-b675-a5ab23b47762,2.93E-07,0.002567165
218,,30000,1976,Mingus Creek Trail,Mingus Mill Access Road,223944,116.3508057,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,be340f4a-3842-49df-862a-3c84d5a2d1ed,4.68E-05,0.030292538
219,,30000,1976,Hannah Mountain Trail,Parson Branch Road,223943,34.04972292,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,00832902-eec5-450a-b084-464a0f2ec7c6,1.37E-05,0.015830435
220,,30000,1976,Hannah Mountain Trail,Parson Branch Road,223942,27.53787261,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,6ca45e9d-9e1e-40d9-96bd-31b8b787244b,1.11E-05,0.015226986
221,,30000,1976,Hannah Mountain Trail,Parson Branch Road,223941,80.38710376,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a82d25c2-3113-4e99-bedd-030d61e73af6,3.23E-05,0.026736843
222,,30000,1976,,Lakeview Drive East Parking #4,223940,154.7360017,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,13caa7b7-9dcb-4f67-8bf8-4ace41f9288c,6.22E-05,0.038562959
223,,30000,1976,Wolf Ridge Trail,Parson Branch Road,223939,22.91200571,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,081d7413-9cf9-4bc4-8c08-1fbca80ee994,9.21E-06,0.011635512
224,,30000,1975,Appalachian Trail,Upper Tremont Road,223935,3.38441384,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,06e6ee9a-09c7-4b6a-824c-c214af0bfc8b,1.36E-06,0.004440767
225,,30000,1975,Conner Cemetery Access,Newfound Gap Road South,223933,12.99676118,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,689b5f85-cba6-4a86-bdc0-a7e15ab3a0f6,5.23E-06,0.009857888
226,,30000,1975,Noland Creek Trail,Lakeview Drive East,223931,285.4966978,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,aac7acf8-7891-42cc-91dc-2477a8585902,0.00011472,0.046810692
227,,30000,1974,Old Settlers Trail,Greenbrier Unpaved Road,223929,26.61050616,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,03e497fb-8591-42ad-bf92-a65daf19ec91,1.07E-05,0.013582226
228,,30000,1974,Maddron Bald Trail,Foothills Parkway Section 8a,223926,10.03180354,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,c6678766-b858-47e0-9ec7-483374b96276,4.05E-06,0.007500691
229,,30000,1974,Cane Creek Trail,Foothills Parkway Southwest Parking #7,223918,19.74283616,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,7e3888b8-209b-4910-af0c-69fe4bc25011,7.95E-06,0.011413255
230,,30000,1974,Gold Mine Trail,Foothills Parkway Section 8g,223922,3.81744129,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,5a3c13c2-1f74-46cb-82d3-c704a93acca1,1.54E-06,0.005675693
231,,30000,1974,Twentymile Trail,Twenty Mile Ranger Station Road,223920,18.45575335,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,82f4524a-5c0c-4fd0-bf58-517a9e8f8c52,7.42E-06,0.011896421
232,,30000,1972,Hannah Mountain Trail,Parson Branch Road,223909,14.21747152,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,e571948a-560e-492f-8448-9e35a63c0724,5.72E-06,0.010714931
233,,30000,1972,Rabbit Creek Trail,Foothills Parkway Section 8h,223907,18.74221005,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,ade0f602-951e-4954-b108-140eb2fc2d8f,7.54E-06,0.013812002
234,,30000,1972,Wolf Ridge Trail,Parson Branch Road,223906,13.21812402,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a1b22088-51e7-49e8-9471-baab85eca0ff,5.31E-06,0.008761053
235,,30000,1972,Crooked Arm Ridge Trail,Cades Cove Loop Road,223904,2.56843,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,587b0b05-b529-4d63-99e6-7ee269a28171,1.03E-06,0.00395411
236,,30000,1971,Appalachian Trail,Kuwohi Road Primary Parking,223902,15.60364329,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,908b99d9-9b8b-41ab-8684-e0536e7db0c1,6.28E-06,0.012703729
237,,30000,1971,Lakeshore Trail,Lakeview Drive East Parking #4,223901,8.25707737,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,8200615c-39a3-4626-b72f-25860bd3eff8,3.32E-06,0.00709213
238,,30000,1971,Noland Divide Trail,Lakeview Drive East,223900,355.2014902,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,3bb563a1-b252-4978-b375-2ee6d0369c4d,0.000142724,0.068908986
239,,30000,1971,Scott Mountain Trail,Laurel Creek Road,223896,107.9681494,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,2cf02c09-4b41-43f5-840e-60ab77d04022,4.35E-05,0.029157073
240,,30000,1971,Cataloochee Divide Trail,Old Cataloochee Turnpike,223895,91.00338412,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,bc440d39-b9a8-4704-94eb-9cd277708ae3,3.66E-05,0.029853166
241,,30000,1969,Ace Gap Trail,Foothills Parkway Section 8g,223888,115.5421273,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,1941ea64-1822-46b7-80d7-0bc9fa499f55,4.66E-05,0.025671903
242,,30000,1969,Laurel Falls Trail,Little River Gorge Road,223885,32.82144098,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,0b23eda9-d6ed-4aba-be41-35f1e784c040,1.32E-05,0.018987835
243,,30000,1968,Wolf Ridge Trail,Parson Branch Road,223884,8.9646447,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,041d0d5d-e2d6-47ab-9106-5ea27e06c930,3.60E-06,0.007379479
244,,30000,1968,Cane Creek Trail,Foothills Parkway Southwest Parking #7,223878,9.31883405,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a2f9b571-6586-48eb-827f-c28052b2cf7e,3.75E-06,0.007655736
245,,30000,1967,Wolf Ridge Trail,Parson Branch Road,223869,490.6961338,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,11ef583f-42a6-4934-b255-ccaebfca3e8e,0.000197305,0.081041739
246,,30000,1967,Twin Creeks Trail,Roaring Fork Motor Nature Trail,223868,11.04373142,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,22e6e0eb-b204-4203-82ac-1a5f8ca7a03a,4.45E-06,0.008867696
247,,30000,1965,Deeplow Gap Trail,Mingus Mill Access Road,223861,2.83152834,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,6c123273-8cec-4c70-bd05-bef21d19d860,1.14E-06,0.004188771
248,,30000,1964,Balsam Mountain Trail,Balsam Mountain Road ,223854,28.46802496,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,f9a7446a-ebde-4ee4-8a06-e6fffa7ba0a9,1.15E-05,0.014090071
249,,30000,1963,Roundtop Trail,Little River Gorge Road,223840,12.74853831,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,e0d7e819-761f-47b1-9d47-2f138bf67592,5.14E-06,0.010832037
250,,30000,1962,Appalachian Trail,Upper Tremont Road,223834,35.20244697,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,9820bc3a-248b-49fe-a4c3-038fa4d231dd,1.42E-05,0.016630054
251,,30000,1961,Cane Creek Trail,Foothills Parkway Section 8g,223826,1.52759516,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,148fcc2d-6e4b-4a56-a974-198dbf9d9f9f,6.15E-07,0.003215628
252,,30000,1961,Chestnut Top Trail,Laurel Creek Road,223823,13.97299227,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,20001af7-a4d9-4c97-8934-11b7f050ff2c,5.63E-06,0.011312256
253,,30000,1961,Thomas Divide Trail,Galbraith Creek Road,223817,6.65563359,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,191ee219-6e3e-48c7-8d9f-32df7f4d1dfa,2.67E-06,0.006827918
254,,30000,1960,Ace Gap Trail,Rich Mountain Road,223813,15.55112383,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,cefd91bc-edc0-4466-9231-48f605d68c1c,6.26E-06,0.012339137
255,,30000,1960,Ollie Cove Trail,Lakeview Drive West,223812,2.07461052,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,47b99fb6-b4f7-435e-8f8d-ce1642c36cb1,8.34E-07,0.003498942
256,,30000,1960,Oconaluftee River Trail,Access Road To Big Cove Road,223805,2.34118968,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,85af043b-5a3f-48e5-b93e-befb5cb3980a,9.41E-07,0.004264757
257,,30000,1953,Twentymile Trail,Twenty Mile Trailhead Parking,223802,1.41483938,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,6bc06ce5-0142-4d99-bf5a-9640593fcb47,5.69E-07,0.002934436
258,,30000,1953,,Lakeview Drive East Parking #4,223801,12.10972701,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,bf9655d8-f031-4452-ae2b-2bf6ee3fe93e,4.86E-06,0.008857327
259,,30000,1953,Roundtop Trail,Little River Gorge Road,223800,1.05937254,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a1089ddd-fbd8-46f7-a721-0605dd89934f,4.27E-07,0.00244238
260,,30000,1953,Cataloochee Divide Trail,Old Cataloochee Turnpike,223798,86.60944879,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,335ecd2e-03e9-4363-9468-993c53c45ab1,3.49E-05,0.029114441
261,,30000,1953,Thomas Divide Trail,Tom Branch Road,223797,1.15833208,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,6507056e-93c2-4459-94b1-0c5345cd0d10,4.65E-07,0.002662078
262,,30000,1952,Hannah Mountain Trail,Foothills Parkway Section 8h,223794,84.15201441,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,9b635451-27e5-467e-8f0f-e4899e7e1277,3.39E-05,0.028375013
263,,30000,1952,Hannah Mountain Trail,Foothills Parkway Section 8h,223793,33.85956698,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,cd294eb8-fd58-4496-bfc9-a422ca00057d,1.36E-05,0.021033579
264,,30000,1952,Hannah Mountain Trail,Foothills Parkway Section 8h,223792,4.49009563,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,00c8ffbf-6c59-48c7-9a6f-f9a9663dd478,1.81E-06,0.005387765
265,,30000,1952,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,223791,2.60062224,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,94aa439d-3316-4a88-89ff-774caf727463,1.04E-06,0.004141227
266,,30000,1952,Mingus Creek Trail,Newfound Gap Road South,223790,1.85809796,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,64f276c3-d7d0-4776-9d77-caa27a7f5956,7.47E-07,0.00317658
267,,30000,1952,Lakeshore Trail,Lakeview Drive West,223787,70.48924724,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,42eaa6e4-8956-4f43-9186-6f31e790142a,2.83E-05,0.02268582
268,,30000,1952,Lakeshore Trail,Lakeview Drive East Parking #4,223786,3.88426368,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,794657fa-24fa-4a4b-9d66-bb766145cfe5,1.56E-06,0.004764799
269,,30000,1952,Mingus Creek Trail,Mingus Mill Access Road,223785,4.12612773,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,ec7ebb2b-724c-47c0-babe-28ec6b541df4,1.66E-06,0.005801191
270,,30000,1952,Chestnut Top Trail,Townsend Entrance Road,223784,1.6228347,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,1170997f-34a7-4776-82e8-0a60d78a7881,6.54E-07,0.003024405
271,,30000,1952,,Lakeview Drive East Parking #4,223783,3.96137642,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,06cc305d-4e99-406f-94ef-ad4d3275f64c,1.59E-06,0.004859905
272,,30000,1952,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,223780,57.21473559,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,59c4103f-a23c-4252-83a1-dd7eba852059,2.30E-05,0.021191821
273,,30000,1952,Chestnut Top Trail,Laurel Creek Road,223772,1.49590895,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,50d9a882-65b6-49ec-b555-e7e738d0a573,6.03E-07,0.003026714
274,,30000,1952,Wolf Ridge Trail,Parson Branch Road,223770,1.69883273,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,53ce43b4-81b1-49ba-a23f-dc6a50c7d46b,6.83E-07,0.003094165
275,,30000,1952,Noland Creek Trail,Lakeview Drive East,223768,288.8562546,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,b96efc79-6240-460f-91a2-4129c6a3b708,0.000116114,0.048671528
276,,30000,1952,Big White Oak Quiet Walkway,Fighting Creek Gap Road,223767,1.41283614,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,8fd32c51-3626-483f-ba75-9905a529867a,5.69E-07,0.002846341
277,,30000,1952,Noland Creek Trail,Lakeview Drive East,223761,8.08347897,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,787412cd-60e3-4e55-be0e-1abb15d6fb57,3.25E-06,0.006972866
278,,30000,1952,Chestnut Top Trail,Townsend Entrance Road,223760,3.56240268,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,4e8377cb-279b-426a-a899-52ecfccb9e29,1.44E-06,0.004623337
279,,30000,1951,Hazel Creek Trail,Upper Tremont Road,223758,49.38528493,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,291da497-c651-4a6c-8226-a2ffffbb7808,1.99E-05,0.019591109
280,,30000,1950,Old Settlers Trail,Foothills Parkway Section 8a,223757,1.79051677,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,f637d0cd-a172-4ac9-9c07-054c22eb4a9c,7.22E-07,0.00321048
281,,30000,1950,Tritt Cemetery Access Trail,Cosby Entrance Road,223755,15.80696879,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,c83645d4-e056-47c0-9a55-33c01af0e680,6.38E-06,0.012861466
282,,30000,1949,Big Dudley Concession Horse Trail,Smoky Mountain Stables Road,223752,1.07729953,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,04995ab3-8d94-4838-a1d1-636f8b3cf0e4,4.34E-07,0.002544713
283,,30000,1949,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,223748,3.20532402,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,5d8bd973-0fc8-4a83-82f7-cc55c66d9b8f,1.29E-06,0.00430171
284,,30000,1948,Crib Gap Trail,Laurel Creek Road,223746,4.64528517,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,dd2efa2e-5735-4cf7-b803-f9de52c26d66,1.87E-06,0.005144078
285,,30000,1948,Cane Creek Trail,Foothills Parkway Section 8g,223744,2.64433496,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,26ece8a1-8f44-406c-b760-ce95652b78c4,1.06E-06,0.003809139
286,,30000,1948,Ace Gap Trail,Rich Mountain Road,223742,2.62785859,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,803895fe-a36b-42cb-b4cd-7b59c6c9677d,1.06E-06,0.003870644
287,,30000,1948,Ace Gap Trail,Rich Mountain Road,223741,1.43981476,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,e878352f-e81f-417a-ace0-9e683e380316,5.80E-07,0.003017117
288,,30000,1948,Jenkins Ridge Trail,Laurel Creek Road,223740,2.08783826,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,be5c21ae-f960-4656-b073-31637a96579b,8.40E-07,0.003385954
289,,30000,1947,Hannah Mountain Trail,Parson Branch Road,223737,6.66023867,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,ba9e536c-febc-47a1-8a77-e3bcdc23b08f,2.68E-06,0.00604155
290,,30000,1947,Little Greenbrier Trail,Little Greenbrier School Unpaved Parking,223735,7.17003621,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,5909658b-656f-4de9-861b-da39e51e01ae,2.89E-06,0.007120858
291,,30000,1947,Curry Mountain Trail,Little River Gorge Road,223732,3.41681017,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,15c20c87-c51e-4759-8952-9753eb93e0e9,1.38E-06,0.004357562
292,,30000,1946,Newton Bald Trail,Newfound Gap Road South,223726,31.26469069,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,6793ab28-575c-4b98-be9e-3ce372968e76,1.26E-05,0.017041451
293,,30000,1946,Roundtop Trail,Townsend Entrance Road,223724,10.02065171,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,ff38a15f-0621-4f0f-ad50-419751d2a557,4.04E-06,0.008577674
294,,30000,1945,Laurel Falls Quiet Walkway,Elkmont Road,223721,1.24746186,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,b6ef2fce-32d0-4c02-b9b6-70c2b9d93909,5.03E-07,0.003152803
295,,30000,1945,Big White Oak Quiet Walkway,Fighting Creek Gap Road,223720,5.10031074,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,bf2ddf2f-6fb6-4c41-83d3-013a2d77e501,2.05E-06,0.005286561
296,,30000,1945,Gabes Mountain Trail,Cosby Entrance Road,223719,26.66377548,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,07cb8c9f-7b89-43a6-8514-856fc602a215,1.08E-05,0.018349739
297,,30000,1945,Chestnut Top Trail,Townsend Entrance Road,223718,19.34236945,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,359c2af5-c71e-4b6e-92e7-d664905832e6,7.79E-06,0.010201949
298,,30000,1945,Little Greenbrier Trail,Wear Cove Gap Road,223717,22.97193707,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,05d70b47-8d49-4d9e-92a3-98b6bb48ef57,9.26E-06,0.013625186
299,,30000,1945,Gabes Mountain Trail,Cosby Entrance Road,223716,8.0466061,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,fb49ba6d-beb4-4bc9-9f12-bcc9320db1f2,3.25E-06,0.007233617
300,,30000,1945,Hemphill Bald Trail,Heintooga Ridge Road,223712,10.57741886,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,048160be-1350-4fec-b495-07ec274b3ea3,4.26E-06,0.007821119
301,,30000,1945,Smokemont Loop Trail,Newfound Gap Road South,223710,3.24157372,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,01afb0b0-29c7-4b7d-8965-97263d96a563,1.30E-06,0.004501736
302,,30000,1945,Wolf Ridge Trail,Parson Branch Road,223708,3.61983528,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,5344c6ab-fcb4-4890-86ff-06a07c983c9e,1.45E-06,0.004483087
303,,30000,1944,Roundtop Trail,Little River Gorge Road,223707,232.1119633,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a083e6ce-c237-4d2a-9d37-b420ee0e6d9c,9.35E-05,0.041719134
304,,30000,1944,Rabbit Creek Trail,Abrams Creek Campground Road,223706,2.23634599,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,a4408855-c580-4b5d-ab0d-ab88e34c0014,9.00E-07,0.003718148
305,,30000,1943,Roundtop Trail,Townsend Entrance Road,223703,51.6098738,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,ac9e168c-014c-44d5-8282-d05177f622d9,2.08E-05,0.021567274
306,,30000,1943,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,223700,5.39479241,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,80d97003-26d3-4978-aa49-7d5daf4e60f3,2.17E-06,0.00561101
307,,30000,1943,Chestnut Top Trail,Townsend Entrance Road,223698,5.74057344,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,e087a291-0a98-42ab-ae92-80ebd8a808c5,2.31E-06,0.005600776
308,,30000,1943,Ace Gap Trail,Rich Mountain Road,223697,2.30640984,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,e9009fee-4786-487e-b0a6-2c642afb21e4,9.29E-07,0.003593038
309,,30000,1943,Roundtop Trail,Townsend Entrance Road,223696,47.81836388,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,f3c71c55-04b3-40ce-bda5-de2ca4962d4a,1.93E-05,0.023191574
310,,30000,1943,Jenkins Ridge Trail,Lakeview Drive West,223695,1.5293415,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,2de4730a-2a3d-4815-88f7-cc474ff720e5,6.15E-07,0.002903939
311,,30000,1943,Gregory Bald Trail,Parson Branch Road,223693,3.91916881,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,9aa301da-cecb-4fdd-8181-416de8efb7a8,1.58E-06,0.006769713
312,,30000,1942,Twentymile Trail,Twenty Mile Trailhead Parking,223692,30.26577593,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,71116461-0183-4f49-aea2-983d2a436e0f,1.22E-05,0.020304419
313,,30000,1942,Nations Cemetery Access,Access Road To Big Cove Road,223691,14.83351162,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,42104d30-9777-438f-9030-1d3f2b12e10a,5.96E-06,0.013077736
314,,30000,1942,Twentymile Trail,Twenty Mile Trailhead Parking,223689,97.50191836,Internal NPS Only,UNKN,2012/07/24 00:00:00+00,Unknown,Raw,GRSM_GIS,2abdf45f-6ae3-4899-abcd-b7ef6828b8e6,3.92E-05,0.035684352
